Designator,Mid X,Mid Y,Rotation,Layer
C1,134.071751,-103.328249,-135,top
C2,128.35,-97.95,45,top
C3,122.2,-74.5,180,top
C4,122.35,-99.05,180,top
C5,158.4,-99.5,90,top
C6,170.45,-108.6,135,top
C7,165.8,-98.75,90,top
C8,165.8,-89.95,-90,top
C9,133.9,-74.2625,90,top
D1,136.3,-92.15,45,top
IC2,171.338,-91.55,90,top
J1,183.65,-83.85,90,top
J2,181.25,-98.4,90,top
J3,149.65,-103.65,0,top
J5,171.95,-67.960315,180,top
Q1,129.5125,-89.9,45,top
Q2,134.85,-58.35,180,top
R1,166.625,-105.2,0,top
R2,176.6,-86.275,-90,top
R3,176.6,-81.45,90,top
R4,113.94,-77.4,0,top
R5,122.775,-94.15,0,top
R6,122.34,-97.85,0,top
R7,166.3,-101.3,0,top
R8,172.4,-95.05,0,top
R9,169.325,-95.05,0,top
R10,159.9,-95.95,-45,top
R11,133.65,-91.9,-135,top
R12,149.5,-95.925,-90,top
R13,131.7,-91.45,45,top
R14,170.6,-100.95,-45,top
SW1,116.45,-72.65,0,top
SW2,116.45,-95.983332,0,top
SW3,111.61,-83.96,90,top
SW4,182.35,-107.85,0,top
U1,172.7,-83.2975,180,top
U2,130.2,-101.65,45,top
U4,135.25,-97.95,45,top
U5,123.85,-57.85,0,top
U6,163.93,-94.3125,180,top
Y1,162.1,-100.9,90,top
